"id","address_country","address_locality","address_region","postal_code","street_address","formatted_address","latitude","longitude","zoom","parish_id","name"
838,"fr","CASTRES",,"81100","39 Bd Clémenceau",,43.6089358,2.2375118,17,436,"Donnée importée de MesseInfo."
740,"fr","AIX EN PROVENCE",,"13100","94 avenue Fontenaille",,43.5340153,5.4670181,15,385,"Donnée importée de MesseInfo."
741,"FR","Aix-en-Provence",,"13100","94 Avenue Jean et Marcel Fontenaille","94, Avenue Jean et Marcel Fontenaille, 13100 Aix-en-Provence, France",43.5340153,5.4670181,,385,"Donnée de MesseInfo traitée par Google Maps."
1689,"fr","ALATA",,"20167","",,,,,866,"Donnée importée de MesseInfo."
742,"fr","AIX EN PROVENCE",,"13100","34 Place des martyrs de la Résistance",,43.5319447,5.4474271,15,386,"Donnée importée de MesseInfo."
743,"FR","Aix-en-Provence",,"13100","34 Place des Martyrs-de-la-Résistance","34, Place des Martyrs-de-la-Résistance, 13100 Aix-en-Provence, France",43.5319447,5.4474271,,386,"Donnée de MesseInfo traitée par Google Maps."
744,"fr","AIX EN PROVENCE",,"13090","10 avenue de la Fourane",,43.5388336,5.4044268,10,387,"Donnée importée de MesseInfo."
745,"FR","Aix-en-Provence",,"13100","10 Rue de la Fourane","10, Rue de la Fourane, 13100 Aix-en-Provence, France",43.5131908,5.4447518,,387,"Donnée de MesseInfo traitée par Google Maps."
746,"fr","ARLES",,"13200","12 rue du cloître",,43.6762005,4.6290835,15,388,"Donnée importée de MesseInfo."
747,"FR","Arles",,"13200","12 Rue du Cloître","12, Rue du Cloître, 13200 Arles, France",43.6762954,4.6290148,,388,"Donnée de MesseInfo traitée par Google Maps."
748,"fr","CHATEAUNEUF LES MARTIGUES",,"13220","",,43.38296,5.164636,10,389,"Donnée importée de MesseInfo."
749,"FR","Châteauneuf-les-Martigues",,"13220"," ",", , 13220 Châteauneuf-les-Martigues, France",43.3957925,5.1744903,,389,"Donnée de MesseInfo traitée par Google Maps."
750,"fr","CHATEAUNEUF LE ROUGE",,"13790","Place Auguste Baret",,43.489238,5.5674289999999,15,390,"Donnée importée de MesseInfo."
751,"FR","Châteauneuf-le-Rouge",,"13790"," Place Auguste Baret",", Place Auguste Baret, 13790 Châteauneuf-le-Rouge, France",43.489238,5.567429,,390,"Donnée de MesseInfo traitée par Google Maps."
752,"fr","EGUILLES",,"13510","place de la mairie",,43.571953,5.351891,15,391,"Donnée importée de MesseInfo."
753,"FR","Éguilles",,"13510"," Place Gabriel Payeur",", Place Gabriel Payeur, 13510 Éguilles, France",43.5685859,5.3541399,,391,"Donnée de MesseInfo traitée par Google Maps."
754,"fr","FOS SUR MER",,"13270","3 PLACE DE L HOTEL DE VILLE",,43.4368154,4.9461182,15,392,"Donnée importée de MesseInfo."
755,"FR","Fos-sur-Mer",,"13270","3 Place de l'Hôtel de ville","3, Place de l'Hôtel de ville, 13270 Fos-sur-Mer, France",43.4367967,4.9462718,,392,"Donnée de MesseInfo traitée par Google Maps."
756,"fr","LA ROQUE D'ANTHERON",,"13640","5 rue Jeanne d'Arc",,43.7160257,5.3107198,15,393,"Donnée importée de MesseInfo."
757,"FR","La Roque-d'Anthéron",,"13640","5 Rue Jeanne d'Arc","5, Rue Jeanne d'Arc, 13640 La Roque-d'Anthéron, France",43.716035,5.3107201,,393,"Donnée de MesseInfo traitée par Google Maps."
758,"fr","LES PENNES MIRABEAU",,"13170","1 chemin des fraises, La Gavotte",,43.3848887,5.3458509,15,394,"Donnée importée de MesseInfo."
759,"FR","Les Pennes-Mirabeau",,"13170","1 Chemin des Fraises","1, Chemin des Fraises, 13170 Les Pennes-Mirabeau, France",43.3848887,5.3458509,,394,"Donnée de MesseInfo traitée par Google Maps."
760,"fr","SAINTES MARIES DE LA MER",,"13460","Place Jean XXIII",,43.453241,4.429074,8,395,"Donnée importée de MesseInfo."
761,"fr","MARIGNANE",,"13700","5 rue de l'église",,43.4212739,5.218332,10,396,"Donnée importée de MesseInfo."
762,"FR","Marignane",,"13700","5 Rue de l'Église","5, Rue de l'Église, 13700 Marignane, France",43.4162542,5.2142338,,396,"Donnée de MesseInfo traitée par Google Maps."
763,"fr","Martigues",,"13500","1 quai Marceau",,43.4052969,5.0549040999999,16,397,"Donnée importée de MesseInfo."
764,"FR","Martigues",,"13500","1 Quai Marceau","1, Quai Marceau, 13500 Martigues, France",43.4052835,5.0549034,,397,"Donnée de MesseInfo traitée par Google Maps."
765,"fr","ORGON",,"13660","9 chemin de ND de Beauregard",,43.7858826,5.0375163,15,398,"Donnée importée de MesseInfo."
766,"FR","Orgon",,"13660","9 Route Notre Dame de Beauregard","9, Route Notre Dame de Beauregard, 13660 Orgon, France",43.785879,5.037534,,398,"Donnée de MesseInfo traitée par Google Maps."
767,"fr","VITROLLES",,"13127","111 avenue Jean Monnet ",,43.4270623,5.2780084,15,399,"Donnée importée de MesseInfo."
768,"FR","Vitrolles",,"13127","111 Avenue Jean Monnet","111, Avenue Jean Monnet, 13127 Vitrolles, France",43.4271582,5.2774482,,399,"Donnée de MesseInfo traitée par Google Maps."
769,"fr","MALLEMORT",,"13370","14 avenue Victor Hugo",,43.7293503,5.1794061000001,15,400,"Donnée importée de MesseInfo."
770,"FR","Mallemort",,"13370","14 Cours Victor Hugo","14, Cours Victor Hugo, 13370 Mallemort, France",43.7295403,5.1793987,,400,"Donnée de MesseInfo traitée par Google Maps."
771,"fr","BERRE L'ETANG",,"13130","2 rue de l'église",,43.4757729,5.1673089999999,10,401,"Donnée importée de MesseInfo."
772,"FR","Berre-l'Étang",,"13130","2 Rue de l'Église","2, Rue de l'Église, 13130 Berre-l'Étang, France",43.4748662,5.166976,,401,"Donnée de MesseInfo traitée par Google Maps."
773,"fr","CHATEAURENARD",,"13160","9 Boulevard du 4 Septembre",,43.881714,4.8549394,15,402,"Donnée importée de MesseInfo."
774,"FR","Châteaurenard",,"13160","9 Boulevard du 4 Septembre","9, Boulevard du 4 Septembre, 13160 Châteaurenard, France",43.881714,4.8549394,,402,"Donnée de MesseInfo traitée par Google Maps."
775,"fr","GIGNAC LA NERTHE",,"13180","22 avenue Pasteur",,43.3933015,5.2359303000001,15,403,"Donnée importée de MesseInfo."
776,"FR","Gignac-la-Nerthe",,"13180","22 Avenue Louis Pasteur","22, Avenue Louis Pasteur, 13180 Gignac-la-Nerthe, France",43.3932439,5.2359496,,403,"Donnée de MesseInfo traitée par Google Maps."
777,"fr","LE THOLONET",,"13100","3429 route Paul Cézanne",,43.5408225,5.4457939,13,404,"Donnée importée de MesseInfo."
778,"FR","Aix-en-Provence",,," Avenue Paul Cézanne",", Avenue Paul Cézanne,  Aix-en-Provence, France",43.5406039,5.445767,,404,"Donnée de MesseInfo traitée par Google Maps."
779,"fr","LES MILLES",,"13290","12 RUE DE L EGLISE",,43.5022024,5.3883032,15,405,"Donnée importée de MesseInfo."
780,"FR","Aix-en-Provence",,"13290","12 Rue de l'Église","12, Rue de l'Église, 13290 Aix-en-Provence, France",43.5020893,5.3881884,,405,"Donnée de MesseInfo traitée par Google Maps."
781,"fr","MIRAMAS",,"13140","10 rue Sauvaire",,43.588896,5.0021360000001,10,406,"Donnée importée de MesseInfo."
782,"FR","Miramas",,"13140","10 Rue Sauvaire","10, Rue Sauvaire, 13140 Miramas, France",43.5828135,5.0004371,,406,"Donnée de MesseInfo traitée par Google Maps."
783,"fr","PORT SAINT LOUIS DU RHONE",,"13230","1 avenue de la république",,43.3875599,4.8043602,15,407,"Donnée importée de MesseInfo."
784,"FR","Port-Saint-Louis-du-Rhône",,"13230","1 Avenue de la République","1, Avenue de la République, 13230 Port-Saint-Louis-du-Rhône, France",43.3875599,4.8043602,,407,"Donnée de MesseInfo traitée par Google Maps."
785,"fr","PELISSANNE",,"13330","17 rue de la liberté",,43.631049,5.150567,11,408,"Donnée importée de MesseInfo."
786,"FR","Pélissanne",,"13330","17 Rue de la Liberté","17, Rue de la Liberté, 13330 Pélissanne, France",43.6311742,5.1497856,,408,"Donnée de MesseInfo traitée par Google Maps."
787,"fr","SAINT CHAMAS",,"13250","8 rue émile Fabre",,43.5495248,5.0360358,15,409,"Donnée importée de MesseInfo."
