"id","diocese_id","code","alias","name","type","responsible","description","email","phone","url","picture","tags","phone_original","phone_international","phone_national","community_type","common_name"
385,826,"aa/13/vauvenargues","101110","Aix - Saint Jean Marie Vianney/ Saint Marc Jaumegarde / Vauvenargues","Paroisse","S.CABANAC","Téléphone : 04 42 23 13 46Web :&nbsp;http://les3paroissesdelavallee@gmail.com","les3paroissesdelavallee@gmail.com","+33442231346","http://www.les3paroissesdelavallee.blogspot.fr/",,,"04 42 23 13 46","+33 4 42 23 13 46","04 42 23 13 46","PARISH",
386,826,"aa/13/cathedrale","101014","Aix - Saint Sauveur","Paroisse",,"","secretariatcathedraleaix@hotmail.fr","+33442234565","http://paroisses-aixarles.fr/aix-saintsauveur/",,,"04 42 23 45 65","+33 4 42 23 45 65","04 42 23 45 65","PARISH",
387,826,"aa/13/notre-dame-de-l-arc","101068","Aix ND de l'Arc/ Saint André - Saint Jérôme","Paroisse","P. Pascal"," ","paroissenda@orange.fr","+33442275395","http://www.paroissesaixsud.com/",,,"04-42-27-53-95","+33 4 42 27 53 95","04 42 27 53 95","PARISH",
388,826,"aa/13/arles","101002","Arles","Paroisse",," ","paroisse.st.trophime@free.fr","+33490960738",,,,"04 90 96 07 38","+33 4 90 96 07 38","04 90 96 07 38","PARISH",
389,826,"aa/13/chateauneuf-les-martigues-le-mede","101016","Chateauneuf-les-Martigues/La Mède","Paroisse","P. Benincasa"," ",,"+33442798828",,,,"04 42 79 88 28","+33 4 42 79 88 28","04 42 79 88 28","PARISH",
390,826,"aa/13/chateauneuf-le-rouge","101118","Châteauneuf le Rouge","Paroisse","P. Bernard Maitte","Châteauneuf-le-Rouge est une commune de 2053 habitants. L&#39;église paroissiale est au centre du village ; facile d&#39;accès et parkings à proximité. La communauté paroissiale sera heureuse de vous accueillir tout particulièrement lors de la messe le dimanche à 10.00 et pour toute demande pastorale et de célébration des sacrements. Le père Bernard Maitte et le diacre Michel Antoine sont au service de cette communauté paroissiale.Visitez le site de la paroisse pour les dernières actualités, évènements, et prendre connaissances d&#39;éventuels changement d&#39;horaires: www.eglisechateauneuf.wix.com/eglise-chateauneuf","paroissec9@gmail.com","+33687677455","http://www.eglisechateauneuf.wix.com/eglise-chateauneuf","http://lh3.googleusercontent.com/bWtU4IB8N71MhfXr1csGtDKrsHYgwibj8SKUBq2OwprZv1zBphFVR1sIMh2NGievvaCu-zVdRUr49Tf29DCT5LE",,"06 87 67 74 55","+33 6 87 67 74 55","06 87 67 74 55","PARISH",
391,826,"aa/13/eguilles","101020","Eguilles","Paroisse","P. Xavier Géron"," ","xavier.geron@gmail.com","+33442926651","http://paroisse-eguilles-celony.fr/",,,"04 42 92 66 51","+33 4 42 92 66 51","04 42 92 66 51","PARISH",
392,826,"aa/13/fos-sur-mer","101027","Fos sur Mer","Paroisse","Père Jean-François NOËL"," ","paroisse.fos@numericable.fr","+33442050129",,,,"04 42 05 01 29 ","+33 4 42 05 01 29","04 42 05 01 29","PARISH",
393,826,"aa/13/la-roque-d-antheron","101038","La Roque d'Antheron","Paroisse","P. BERT ALFARO"," ","mba.etc.etc@gmail.com","+33608026659","http://www.nosparoisses.com",,,"06 08 02 66 59 ","+33 6 08 02 66 59","06 08 02 66 59","PARISH",
394,826,"aa/13/la-gavotte-les-cadeneaux","101037","Les Pennes Mirabeau/Les Cadeneaux/La Gavotte","Paroisse",," ","r.aliger@orange.fr","+33491510013","https://paroissedespennesmirabeau.wordpress.com/",,,"04 91 51 00 13","+33 4 91 51 00 13","04 91 51 00 13","PARISH",
