"id","name","address_country","address_locality","address_region","postal_code","street_address","created_at","updated_at","picture","formatted_address","latitude","longitude","zoom","type","slug","parish_id","messe_info_id"
14938,"Exaltation de la Sainte Croix","FR","FOURQUEUX",,"78112","4 bis rue de Saint-Nom","2018-04-07 11:25:04","2018-04-07 11:25:04","https://lh3.googleusercontent.com/AHOoud8Fm1x9fBLua5n_DLSuX5UQXwq3HRI4RLrM8PCEtvPbQfkrlsyg8T0x8N2zBKt7Dxn8JY23aey2hyBksVU=s85",,48.8847373,2.0611995,,"eglise","",17091,"78/fourqueux/exaltation-de-la-sainte-croix"
14939,"Saint Etienne","FR","MAREIL MARLY",,"78750","4 bis rue Tellier Frères","2018-04-07 11:25:04","2018-04-07 11:25:04","https://lh3.googleusercontent.com/SQlxdadG3jcyCEB4VXiuF_GUhhJlKJErk8u2W4EX4a6HPN5cI-fCVHeu1VAvg_33J-Jp-At_AJgJ1J3EALPu-A=s85",,48.8812744,2.078857,,"eglise","",17091,"78/mareil-marly/saint-etienne"
14940,"Ablis (Saint Pierre Saint Paul)","FR","ABLIS",,"78660","1, avenue des Platanes. B.P. 18","2018-04-07 11:25:05","2018-04-07 11:25:05","https://lh3.googleusercontent.com/oh-VJ7MQIXfP9k5C_gTBtU2CXsFTPinBdosvzIycgQTc9qYUzip2rfqgSu8skjA8na2mdUX5eIBWIRXzMLWPUwA=s85",,48.5149215,1.8346536,,"eglise","",17092,"78/ablis/saint-pierre-saint-paul"
14941,"Allainville-aux-Bois (Saint Pierre)","FR","ALLAINVILLE AUX BOIS",,"78660","","2018-04-07 11:25:05","2018-04-07 11:25:05","https://lh3.googleusercontent.com/I-rgzqnVXqRxvsVyt9cWmIYBcGsHK_-PiMSndt73KdP3HTbJl7OvlqEj1B9tw6oyn_8YvWFnG6QzVstplyQ2HNk=s85",,48.4565996,1.8967762,,"eglise","",17092,"78/allainville-aux-bois/saint-pierre"
14942,"Boinville-le-Gaillard (Assomption de la Très-Sainte Vierge)","FR","BOINVILLE LE GAILLARD",,"78660","","2018-04-07 11:25:05","2018-04-07 11:25:05","https://lh3.googleusercontent.com/SRHEiTOSSMVU1ridEie8Kw0RmBFC0V9nLcMIHD2FbxmoJPtbSdsp6Y1FcAqYDjxDvFoWqBrOh1Yo6p3Oy48I2Yzx=s85",,48.4933997,1.8714652,,"eglise","",17092,"78/boinville-le-gaillard/assomption-de-la-tres-sainte-vierge"
14943,"Orsonville (Saint André)","FR","ORSONVILLE",,"78660","","2018-04-07 11:25:05","2018-04-07 11:25:05","https://lh3.googleusercontent.com/nbjP1gBy_Al2sU7RTMUstrp27Rwod8kTvr-9sahoZrtrX_9R0ezEBviNm93DZnEqqFkE4nWY7vLjFYVF0DiJj8qk=s85",,48.4780544,1.8342921,,"eglise","",17092,"78/orsonville/saint-andre"
14944,"Paray-Douaville (Saint Pierre)","FR","PARAY DOUAVILLE",,"78660","","2018-04-07 11:25:05","2018-04-07 11:25:05","https://lh3.googleusercontent.com/4KQwAvCbK_zOW8Wa74ooxa5sQ7wVHBesChHFIhvUcUUe-8jZwfiJazqR2kCNigJjtOY-2ExEOnGJHx0hD1waTg=s85",,48.4623627,1.8765236,,"eglise","",17092,"78/paray-douaville/saint-pierre"
14945,"Prunay-en-Yvelines (Saint Pierre et Saint Paul)","FR","PRUNAY EN YVELINES",,"78660","","2018-04-07 11:25:05","2018-04-07 11:25:05","https://lh3.googleusercontent.com/TGU6WX-x7g-seft-CpLhkxLDUUPhUZ-qQsYralXZd9B-lE_lDCegvWsG51yLjSwblSXwgcrbqDF2TzVkde_MLmA=s85",,48.5269651,1.7960195,,"eglise","",17092,"78/prunay-en-yvelines/saint-pierre-et-saint-paul"
14946,"Prunay-en-Yvelines-Craches (Notre Dame de la Crèche)","FR","CRACHES",,"78660","","2018-04-07 11:25:05","2018-04-07 11:25:05","https://lh3.googleusercontent.com/3Y1KLdyXpFHAT3_83MiXdnlgsUi6sre2zjgZN9RHBgYH9ZQjNVInrIM0PsMS9-QBt1ulZaxQMzowQLGzQJZbaQA=s85",,48.5570852,1.8118037,,"eglise","",17092,"78/craches/notre-dame-de-la-creche"
14947,"Saint-Martin-de-Bréthencourt (Saint Martin)","FR","SAINT MARTIN DE BRETHENCOURT",,"78660","","2018-04-07 11:25:05","2018-04-07 11:25:05","https://lh3.googleusercontent.com/55-MyHas-oqIslBnFvlcRp3PAHUQWBNnw7iudhDAdFq3R9rJpkbnctV7tugHLyPvkhuKN0KxoyiYQM9xTA_oTvA=s85",,48.5097252,1.9270288,,"eglise","",17092,"78/saint-martin-de-brethencourt/saint-pierre-saint-paul"
14948,"Sonchamp (Saint Georges)","FR","SONCHAMP",,"78120","","2018-04-07 11:25:05","2018-04-07 11:25:05","https://lh3.googleusercontent.com/a68NraRRWhsVQLuBnY89GIBi429v86TpjOxop6z5o3BcIzr7d4OckdT2qEGn4IN_KVF0A1j3elR9q0TFE9H9jh8=s85",,48.575034,1.8793874,,"eglise","",17092,"78/sonchamp/saint-georges"
14949,"Centre Jean XXIII","FR","ACHERES",,"78260","24 bis, rue Deschamps-Guérin","2018-04-07 11:25:05","2018-04-07 11:25:05","https://lh4.ggpht.com/-dR-hXHoiIs-KP2nvLfhllCR_f2fM4ixY2ndn_-CMlxeIXpqUmDEsvjnh2KITJ5vYovqHCViq8JPBjoy-QF2TTvnoPXoTTocuKGoLfumOQ=s85",,48.9591741,2.0713713,,"chapelle","",17093,"78/acheres/chapelle-jean-xxiii"
14950,"église Saint-Martin","FR","ACHERES",,"78260","8, avenue de Stalingrad","2018-04-07 11:25:05","2018-04-07 11:25:05","https://lh3.googleusercontent.com/V99dtuTrjwBFquPJy6cdtIJD7--3XlTWnqwhzb9MHwgY2SqeXcPuARr8cGZMidPOIHKbtWMYzYgaVQj6o-K9cA=s85",,48.9604725,2.0685921,,"eglise","",17093,"78/acheres/saint-martin"
14951,"Eglise St Ouen ","FR","AUBERGENVILLE",,"78410","4 rue Gaston-Jouillerat","2018-04-07 11:25:05","2018-04-07 11:25:05","https://lh3.googleusercontent.com/LVe7SjRca36Bs261QB-2wa_khc2sV7yvRgym7Tm2f3qnP1MFrKutLE4QRzaSLlVN4QSm2pt6dNivW13oLYaa_Q=s85",,48.9593291,1.8552572,,"eglise","",17094,"78/aubergenville/saint-ouen"
14952,"Nativité de la Très Sainte Vierge","FR","La Falaise",,"78410","","2018-04-07 11:25:05","2018-04-07 11:25:05","https://lh3.googleusercontent.com/MNowwxq6zLSUTw8ag7yk-6OL6kojBZ3mK7C6swF5qUGsNGJPmmYnbovU2ra3XE-UaC0M66erEYwJpMjaTjVYdg=s85",,48.944315,1.831813,,"eglise","",17094,"78/la-falaise/nativite"
14953,"Saint Béat","FR","EPONE",,"78680","1 rue des Sous-Boutillettes","2018-04-07 11:25:05","2018-04-07 11:25:05","https://lh3.googleusercontent.com/LplUBjhXYQDpOyNDaiJdI5PM-FSd3K40e8xWoEMPH8l7Wyw4yrZH8Jl0klrjeol-wqZJ9fzrICA42--wi4_qBenT=s85",,48.9560527,1.812496,,"eglise","",17094,"78/epone/saint-beat"
14954,"Saint Blaise","FR","NEZEL",,"78410","","2018-04-07 11:25:05","2018-04-07 11:25:05","https://lh3.googleusercontent.com/whdEKb4JdUbMrp2q9Zhdv7k-YbJi2Mf5GTAs5D8mKW9Yz1JLa_WVd5EtwVQs9f_2CUW45Eu5m17wLaFxwRbaWmM=s85",,48.942757,1.839768,,"eglise","",17094,"78/nezel/saint-blaise"
14955,"Saint Cloud","FR","FLINS SUR SEINE",,"78410","15 rue de l'église","2018-04-07 11:25:05","2018-04-07 11:25:05","https://lh3.googleusercontent.com/SbZ5SpYbL5LJgvcQn4lpbhkJQ5zPivAigwG67-OEbhEk4NYx038mMEufDXw4tqxiG7j2L71NAU4kk-y7X0ueKB8=s85",,48.9659036,1.8956743,,"eglise","",17094,"78/flins-sur-seine/saint-cloud"
14956,"Saint Denis","FR","CHAPET",,"78130","","2018-04-07 11:25:05","2018-04-07 11:25:05","https://lh3.googleusercontent.com/y92Z3xR7w2Gj15nwT2BkcIb2KlSg9KOJmaYGh6IAIXPBpOVLLChrTCVZYWfl7B3RseqDO4nZonl3ZrptPJVYDQ=s85",,48.967085,1.933828,,"eglise","",17094,"78/chapet/saint-denis"
14957,"Saint Martin","FR","BOUAFLE",,"78410","","2018-04-07 11:25:05","2018-04-07 11:25:05","https://lh3.googleusercontent.com/Q6ZF6FbzD_GlljoQ8A1o28TJaQuw4IjWrdXdY_8HHF6qAUzrOmZOdeoZ0YIOL7SpYcBW1F9mQGA3I9urwiM2ktQ=s85",,48.968665,1.901421,,"eglise","",17094,"78/bouafle/saint-martin"
14958,"Saint Martin","FR","ECQUEVILLY",,"78920","Rue de l'église","2018-04-07 11:25:05","2018-04-07 11:25:05","https://lh3.googleusercontent.com/OaF7NlY0Nqfgef6CKrfKakfeUmIBCv6Q2kAmyWTQCJ0g_FQ0GsTqFzlUjR1b6z42s6Q98Z4VxaFKMoylMwodSGI=s85",,48.965979,1.895924,,"eglise","",17094,"78/ecquevilly/saint-martin"
14959,"Saint Nicolas","FR","MEZIERES SUR SEINE",,"78970","","2018-04-07 11:25:05","2018-04-07 11:25:05","https://lh3.googleusercontent.com/uIQzVoun4SkOgotCpuK8TukmOzJZAwB04dXxWQANZK4Bta8BInPy59zHvG8vHUAUjMg1TJ9oc_Iw-OP2-F3stZQ=s85",,48.954992,1.803215,,"eglise","",17094,"78/mezieres-sur-seine/saint-nicolas"
14960,"Sainte Thérèse d'Elisabethville","FR","AUBERGENVILLE",,"78410","Place Louvain","2018-04-07 11:25:05","2018-04-07 11:25:05","https://lh3.googleusercontent.com/god4X6B4u11FUuOcEs-s2AsoXB-99TKjH3TQzHDN9gLZKFn586_TnfZAiaYViSDHsjLFeBf72bD3g7ZUHBvTU9M=s85",,48.9764719,1.8439433,,"eglise","",17094,"78/aubergenville/sainte-therese-d-elisabethville"
